2024-11-04:19:19:04,789 INFO     [s3_bucket.py:81] File saved in the bucket pedroatp-bucket-model44
2024-11-04:19:19:43,911 INFO     [s3_bucket.py:81] /home/pedro/Documents/mlops/24-2-mlops-project-car_object_detection/models/runs/detect/train/weights/best.onnx saved in the bucket pedroatp-bucket-model44 as model.onnx
2024-11-04:19:20:23,587 INFO     [s3_bucket.py:48] Bucket pedroatp-bucket-model44 deleted
2024-11-04:20:55:38,116 INFO     [s3_bucket.py:67] Bucket pedroatp-bucket-model45 deleted
2024-11-04:20:56:35,305 INFO     [s3_bucket.py:30] model Bucket pedroatp-bucket-model45 created
2024-11-04:20:56:35,306 INFO     [s3_bucket.py:48] BUCKET_MODEL=pedroatp-bucket-model45
2024-11-04:20:56:35,943 ERROR    [s3_bucket.py:52] Traceback (most recent call last):
  File "/home/pedro/Documents/mlops/24-2-mlops-project-car_object_detection/data/s3_bucket.py", line 25, in create_S3_bucket
    self.s3.create_bucket(
  File "/home/pedro/Documents/mlops/24-2-mlops-project-car_object_detection/env/lib/python3.12/site-packages/botocore/client.py", line 569, in _api_call
    return self._make_api_call(operation_name, kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/pedro/Documents/mlops/24-2-mlops-project-car_object_detection/env/lib/python3.12/site-packages/botocore/client.py", line 1023, in _make_api_call
    raise error_class(parsed_response, operation_name)
botocore.errorfactory.BucketAlreadyOwnedByYou: An error occurred (BucketAlreadyOwnedByYou) when calling the CreateBucket operation: Your previous request to create the named bucket succeeded and you already own it.

2024-11-04:20:56:35,944 ERROR    [s3_bucket.py:127] pedroatp-bucket-dataset45 not created
2024-11-04:20:57:02,572 INFO     [s3_bucket.py:67] Bucket pedroatp-bucket-model45 deleted
2024-11-04:20:57:10,279 INFO     [s3_bucket.py:67] Bucket pedroatp-bucket-dataset45 deleted
2024-11-04:20:57:17,167 INFO     [s3_bucket.py:30] model Bucket pedroatp-bucket-model45 created
2024-11-04:20:57:17,168 INFO     [s3_bucket.py:48] BUCKET_MODEL=pedroatp-bucket-model45
2024-11-04:20:57:18,076 INFO     [s3_bucket.py:30] dataset Bucket pedroatp-bucket-dataset45 created
2024-11-04:20:57:18,077 INFO     [s3_bucket.py:48] BUCKET_DATASET=pedroatp-bucket-dataset45
2024-11-04:20:57:18,612 INFO     [s3_bucket.py:78]   aws-cloudtrail-logs-820926566402-9ca8cb23
2024-11-04:20:57:18,612 INFO     [s3_bucket.py:78]   aws-emr-studio-820926566402-us-east-2
2024-11-04:20:57:18,612 INFO     [s3_bucket.py:78]   aws-logs-820926566402-us-east-2
2024-11-04:20:57:18,612 INFO     [s3_bucket.py:78]   aws-sam-cli-managed-default-samclisourcebucket-13pqm16grcy32
